Field,ID,Type (Тип),default,en,es,it,pt,ru,tr,fr,en-us,da,de,pl,uk,fi,sv
Description,2,Текст,,"The router access policy you need in one click.

RouterTray brings the access policies configured on your Keenetic or Netcraze router to the Windows notification area. Choose any scenario you have created for the current PC—for example, direct internet access, a work VPN, or a family profile—without repeatedly signing in to the router’s web interface.

Click the RouterTray icon next to the clock and select the policy you need. The router will apply it to the selected network adapter on the PC. The active policy has a check mark, while the “Default” command restores the router’s standard rules.

For home, office, and other networks, you can create separate profiles with their own router address, sign-in method, and network adapter. Link a profile to a Windows network and RouterTray will select it automatically when you connect. You can enter the router address manually or let the app detect it through the network gateway.

Key features:

• quickly select a policy from the system tray;
• multiple profiles for different routers and networks;
• automatic profile selection based on the current Windows network;
• automatic router address detection;
• automatic or manual selection of Ethernet, Wi-Fi, and other network adapters;
• sign in with a username and password or an access token;
• protect saved passwords and tokens using Windows security;
• start with Windows;

How RouterTray works:

The app connects to the router over the local network, retrieves the list of existing policies, and applies the selected policy to the current computer’s network adapter. RouterTray does not modify the policy settings, is not a VPN client, and does not route internet traffic itself.

Important:

• requires a compatible Keenetic or Netcraze router with a local RCI API;
• policies must be created in advance in the router’s web interface;
• token authentication is available on firmware version 5.2 or later;
• RouterTray is an independent app and is not affiliated with the official Keenetic or Netcraze products.

Set up RouterTray once, and the route you need will always be close at hand.","La política de acceso del router que necesitas, a un solo clic.

RouterTray lleva las políticas de acceso configuradas en tu router Keenetic o Netcraze al área de notificación de Windows. Elige para el equipo actual cualquier escenario que hayas creado, por ejemplo, acceso directo a Internet, una VPN de trabajo o un perfil familiar, sin tener que iniciar sesión continuamente en la interfaz web del router.

Haz clic en el icono de RouterTray junto al reloj y selecciona la política que necesites. El router la aplicará al adaptador de red seleccionado del equipo. La política activa aparece marcada, mientras que el comando «Predeterminada» restaura las reglas estándar del router.

Para casa, la oficina y otras redes, puedes crear perfiles independientes con su propia dirección del router, método de inicio de sesión y adaptador de red. Vincula un perfil a una red de Windows y RouterTray lo seleccionará automáticamente cuando te conectes. Puedes introducir la dirección del router manualmente o permitir que la aplicación la detecte a través de la puerta de enlace de red.

Funciones principales:

• selección rápida de políticas desde la bandeja del sistema;
• varios perfiles para distintos routers y redes;
• selección automática del perfil según la red de Windows actual;
• detección automática de la dirección del router;
• selección automática o manual de Ethernet, Wi-Fi y otros adaptadores de red;
• inicio de sesión con nombre de usuario y contraseña o con un token de acceso;
• protección de contraseñas y tokens guardados mediante la seguridad de Windows;
• inicio automático con Windows;

Cómo funciona RouterTray:

La aplicación se conecta al router a través de la red local, obtiene la lista de políticas existentes y aplica la política seleccionada al adaptador de red del equipo actual. RouterTray no modifica la configuración de las políticas, no es un cliente VPN y no enruta el tráfico de Internet por sí mismo.

Importante:

• se requiere un router Keenetic o Netcraze compatible con una API RCI local;
• las políticas deben crearse previamente en la interfaz web del router;
• la autenticación mediante token está disponible con la versión de firmware 5.2 o posterior;
• RouterTray es una aplicación independiente y no forma parte de los productos oficiales de Keenetic ni de Netcraze.

Configura RouterTray una vez y la ruta que necesites siempre estará a mano.","Il criterio di accesso al router che ti serve, con un solo clic.

RouterTray porta nell’area di notifica di Windows i criteri di accesso configurati sul router Keenetic o Netcraze. Per il computer in uso, scegli qualsiasi scenario creato da te, ad esempio l’accesso diretto a Internet, una VPN aziendale o un profilo famiglia, senza dover accedere ogni volta all’interfaccia web del router.

Fai clic sull’icona RouterTray accanto all’orologio e seleziona il criterio desiderato. Il router lo applicherà alla scheda di rete selezionata del computer. Il criterio attivo è contrassegnato da un segno di spunta, mentre il comando «Predefinito» ripristina le regole standard del router.

Per casa, ufficio e altre reti puoi creare profili separati, ciascuno con il proprio indirizzo del router, metodo di accesso e scheda di rete. Associa un profilo a una rete Windows e RouterTray lo selezionerà automaticamente alla connessione. Puoi inserire manualmente l’indirizzo del router oppure lasciare che l’app lo rilevi tramite il gateway di rete.

Funzionalità principali:

• selezione rapida dei criteri dall’area di notifica;
• più profili per router e reti diversi;
• selezione automatica del profilo in base alla rete Windows corrente;
• rilevamento automatico dell’indirizzo del router;
• selezione automatica o manuale di Ethernet, Wi-Fi e altre schede di rete;
• accesso con nome utente e password o token di accesso;
• protezione di password e token salvati tramite le funzionalità di sicurezza di Windows;
• avvio insieme a Windows;

Come funziona RouterTray:

L’app si connette al router tramite la rete locale, recupera l’elenco dei criteri già creati e applica quello selezionato alla scheda di rete del computer in uso. RouterTray non modifica le impostazioni dei criteri, non è un client VPN e non instrada autonomamente il traffico Internet.

Importante:

• è necessario un router Keenetic o Netcraze compatibile con API RCI locale;
• i criteri devono essere creati in precedenza nell’interfaccia web del router;
• l’autenticazione tramite token è disponibile con la versione firmware 5.2 o successiva;
• RouterTray è un’app indipendente e non fa parte dei prodotti ufficiali Keenetic o Netcraze.

Configura RouterTray una sola volta e avrai sempre a portata di mano il percorso che ti serve.","A política de acesso ao router de que precisa, com um só clique.

O RouterTray coloca na área de notificação do Windows as políticas de acesso configuradas no seu router Keenetic ou Netcraze. Escolha, para o computador atual, qualquer cenário que tenha criado, por exemplo, acesso direto à Internet, uma VPN de trabalho ou um perfil familiar, sem iniciar sessão constantemente na interface Web do router.

Clique no ícone do RouterTray junto ao relógio e selecione a política pretendida. O router aplicá-la-á ao adaptador de rede selecionado do computador. A política ativa fica assinalada, enquanto o comando «Predefinição» repõe as regras padrão do router.

Para casa, escritório e outras redes, pode criar perfis separados com o respetivo endereço do router, método de início de sessão e adaptador de rede. Associe um perfil a uma rede do Windows e o RouterTray selecioná-lo-á automaticamente quando se ligar. Pode introduzir manualmente o endereço do router ou permitir que a aplicação o detete através do gateway de rede.

Principais funcionalidades:

• seleção rápida de políticas na área de notificação;
• vários perfis para diferentes routers e redes;
• seleção automática do perfil com base na rede atual do Windows;
• deteção automática do endereço do router;
• seleção automática ou manual de Ethernet, Wi-Fi e outros adaptadores de rede;
• início de sessão com nome de utilizador e palavra-passe ou token de acesso;
• proteção das palavras-passe e dos tokens guardados através da segurança do Windows;
• arranque com o Windows;

Como funciona o RouterTray:

A aplicação liga-se ao router através da rede local, obtém a lista de políticas já criadas e aplica a política selecionada ao adaptador de rede do computador atual. O RouterTray não altera as definições das políticas, não é um cliente VPN e não encaminha o tráfego da Internet autonomamente.

Importante:

• é necessário um router Keenetic ou Netcraze compatível com uma API RCI local;
• as políticas têm de ser criadas previamente na interface Web do router;
• a autenticação por token está disponível no firmware versão 5.2 ou posterior;
• o RouterTray é uma aplicação independente e não faz parte dos produtos oficiais da Keenetic ou da Netcraze.

Configure o RouterTray uma vez e terá sempre à mão a rota de que precisa.","Нужная политика доступа роутера в одном клике.

RouterTray переносит настроенные на роутере Keenetic или Netcraze политики доступа в область уведомлений Windows. Выбирайте для текущего компьютера любой созданный вами сценарий например, прямой доступ в интернет, рабочий VPN или семейный профиль без постоянного входа в веб-интерфейс роутера.

Нажмите на значок RouterTray рядом с часами и выберите нужную политику. Роутер применит её к выбранному сетевому адаптеру компьютера. Активная политика отмечена галочкой, а команда «По умолчанию» возвращает стандартные правила роутера.

Для дома, офиса и других сетей можно создать отдельные профили с собственным адресом роутера, способом входа и сетевым адаптером. Привяжите профиль к сети Windows, и RouterTray автоматически выберет его при подключении. Адрес роутера можно указать вручную или позволить приложению определить его через сетевой шлюз.

Основные возможности:

• быстрый выбор политики из системного трея;
• несколько профилей для разных роутеров и сетей;
• автоматический выбор профиля по текущей сети Windows;
• автоматическое определение адреса роутера;
• автоматический или ручной выбор Ethernet, Wi-Fi и других сетевых адаптеров;
• вход по логину и паролю или токену доступа;
• защита сохранённых паролей и токенов средствами Windows;
• запуск вместе с Windows;

Как работает RouterTray:

Приложение подключается к роутеру по локальной сети, получает список уже созданных политик и применяет выбранную политику к сетевому адаптеру текущего компьютера. RouterTray не изменяет настройки самих политик, не является VPN-клиентом и не маршрутизирует интернет-трафик самостоятельно.

Важно:

• требуется совместимый роутер Keenetic или Netcraze с локальным RCI API;
• политики необходимо заранее создать в веб-интерфейсе роутера;
• авторизация по токену доступна на прошивке версии 5.2 или новее;
• RouterTray является независимым приложением и не относится к официальным продуктам Keenetic или Netcraze.

Настройте RouterTray один раз и нужный маршрут всегда будет под рукой.
","İhtiyacınız olan yönlendirici erişim politikası tek tık uzağınızda.

RouterTray, Keenetic veya Netcraze yönlendiricinizde yapılandırılmış erişim politikalarını Windows bildirim alanına taşır. Yönlendiricinin web arayüzünde sürekli oturum açmadan, mevcut bilgisayar için oluşturduğunuz herhangi bir senaryoyu (örneğin doğrudan internet erişimi, iş VPN’i veya aile profili) seçin.

Saatin yanındaki RouterTray simgesine tıklayın ve istediğiniz politikayı seçin. Yönlendirici, bu politikayı bilgisayarın seçili ağ bağdaştırıcısına uygular. Etkin politika onay işaretiyle belirtilir; «Varsayılan» komutu ise yönlendiricinin standart kurallarını geri yükler.

Ev, ofis ve diğer ağlar için kendi yönlendirici adresi, oturum açma yöntemi ve ağ bağdaştırıcısı bulunan ayrı profiller oluşturabilirsiniz. Bir profili Windows ağına bağladığınızda RouterTray, bağlantı kurulurken profili otomatik olarak seçer. Yönlendirici adresini elle girebilir veya uygulamanın ağ geçidi üzerinden algılamasına izin verebilirsiniz.

Başlıca özellikler:

• sistem tepsisinden hızlı politika seçimi;
• farklı yönlendiriciler ve ağlar için birden çok profil;
• geçerli Windows ağına göre otomatik profil seçimi;
• yönlendirici adresinin otomatik algılanması;
• Ethernet, Wi-Fi ve diğer ağ bağdaştırıcılarının otomatik veya elle seçimi;
• kullanıcı adı ve parola ya da erişim belirteciyle oturum açma;
• kaydedilen parolaların ve belirteçlerin Windows güvenliğiyle korunması;
• Windows ile birlikte başlatma;

RouterTray nasıl çalışır:

Uygulama yerel ağ üzerinden yönlendiriciye bağlanır, önceden oluşturulmuş politikaların listesini alır ve seçili politikayı mevcut bilgisayarın ağ bağdaştırıcısına uygular. RouterTray politikaların ayarlarını değiştirmez, bir VPN istemcisi değildir ve internet trafiğini kendi başına yönlendirmez.

Önemli:

• yerel RCI API’sine sahip uyumlu bir Keenetic veya Netcraze yönlendirici gerekir;
• politikalar önceden yönlendiricinin web arayüzünde oluşturulmalıdır;
• belirteçle kimlik doğrulama, 5.2 veya üzeri ürün yazılımı sürümlerinde kullanılabilir;
• RouterTray bağımsız bir uygulamadır ve Keenetic veya Netcraze’in resmi ürünlerinden biri değildir.

RouterTray’i bir kez ayarlayın; ihtiyacınız olan rota her zaman elinizin altında olsun.","La politique d’accès au routeur qu’il vous faut, en un clic.

RouterTray place dans la zone de notification Windows les politiques d’accès configurées sur votre routeur Keenetic ou Netcraze. Pour l’ordinateur actuel, choisissez n’importe quel scénario que vous avez créé, par exemple un accès direct à Internet, un VPN professionnel ou un profil familial, sans vous connecter sans cesse à l’interface web du routeur.

Cliquez sur l’icône RouterTray à côté de l’horloge, puis sélectionnez la politique souhaitée. Le routeur l’appliquera à la carte réseau sélectionnée de l’ordinateur. La politique active est cochée, tandis que la commande «Par défaut» rétablit les règles standard du routeur.

Pour la maison, le bureau et d’autres réseaux, vous pouvez créer des profils distincts avec leur propre adresse de routeur, mode de connexion et carte réseau. Associez un profil à un réseau Windows et RouterTray le sélectionnera automatiquement lors de la connexion. Vous pouvez saisir l’adresse du routeur manuellement ou laisser l’application la détecter via la passerelle réseau.

Principales fonctionnalités:

• sélection rapide d’une politique depuis la zone de notification;
• plusieurs profils pour différents routeurs et réseaux;
• sélection automatique du profil selon le réseau Windows actuel;
• détection automatique de l’adresse du routeur;
• sélection automatique ou manuelle des cartes Ethernet, Wi-Fi et autres cartes réseau;
• connexion avec un nom d’utilisateur et un mot de passe ou un jeton d’accès;
• protection des mots de passe et jetons enregistrés par les mécanismes de sécurité Windows;
• démarrage avec Windows;

Fonctionnement de RouterTray:

L’application se connecte au routeur via le réseau local, récupère la liste des politiques déjà créées et applique la politique sélectionnée à la carte réseau de l’ordinateur actuel. RouterTray ne modifie pas les paramètres des politiques, n’est pas un client VPN et n’achemine pas lui-même le trafic Internet.

Important:

• un routeur Keenetic ou Netcraze compatible avec une API RCI locale est requis;
• les politiques doivent être créées au préalable dans l’interface web du routeur;
• l’authentification par jeton est disponible avec la version 5.2 ou ultérieure du micrologiciel;
• RouterTray est une application indépendante et ne fait pas partie des produits officiels Keenetic ou Netcraze.

Configurez RouterTray une fois et l’itinéraire dont vous avez besoin restera toujours à portée de main.","The router access policy you need in one click.

RouterTray brings the access policies configured on your Keenetic or Netcraze router to the Windows notification area. Choose any scenario you have created for the current PC—for example, direct internet access, a work VPN, or a family profile—without repeatedly signing in to the router’s web interface.

Click the RouterTray icon next to the clock and select the policy you need. The router will apply it to the selected network adapter on the PC. The active policy has a check mark, while the “Default” command restores the router’s standard rules.

For home, office, and other networks, you can create separate profiles with their own router address, sign-in method, and network adapter. Link a profile to a Windows network and RouterTray will select it automatically when you connect. You can enter the router address manually or let the app detect it through the network gateway.

Key features:

• quickly select a policy from the system tray;
• multiple profiles for different routers and networks;
• automatic profile selection based on the current Windows network;
• automatic router address detection;
• automatic or manual selection of Ethernet, Wi-Fi, and other network adapters;
• sign in with a username and password or an access token;
• protect saved passwords and tokens using Windows security;
• start with Windows;

How RouterTray works:

The app connects to the router over the local network, retrieves the list of existing policies, and applies the selected policy to the current computer’s network adapter. RouterTray does not modify the policy settings, is not a VPN client, and does not route internet traffic itself.

Important:

• requires a compatible Keenetic or Netcraze router with a local RCI API;
• policies must be created in advance in the router’s web interface;
• token authentication is available on firmware version 5.2 or later;
• RouterTray is an independent app and is not affiliated with the official Keenetic or Netcraze products.

Set up RouterTray once, and the route you need will always be close at hand.","Den ønskede adgangspolitik til routeren er kun ét klik væk.

RouterTray flytter de adgangspolitikker, der er konfigureret på din Keenetic- eller Netcraze-router, til Windows-meddelelsesområdet. Vælg et scenarie, du har oprettet til den aktuelle computer, f.eks. direkte internetadgang, en arbejds-VPN eller en familieprofil, uden hele tiden at logge på routerens webgrænseflade.

Klik på RouterTray-ikonet ved siden af uret, og vælg den ønskede politik. Routeren anvender den på computerens valgte netværkskort. Den aktive politik er markeret med et flueben, mens kommandoen »Standard« gendanner routerens standardregler.

Du kan oprette separate profiler til hjemmet, kontoret og andre netværk, hver med egen routeradresse, loginmetode og netværkskort. Knyt en profil til et Windows-netværk, så vælger RouterTray den automatisk, når der oprettes forbindelse. Du kan angive routeradressen manuelt eller lade appen registrere den via netværksgatewayen.

Vigtigste funktioner:

• hurtigt valg af politik fra systembakken;
• flere profiler til forskellige routere og netværk;
• automatisk profilvalg ud fra det aktuelle Windows-netværk;
• automatisk registrering af routeradressen;
• automatisk eller manuelt valg af Ethernet, Wi-Fi og andre netværkskort;
• login med brugernavn og adgangskode eller adgangstoken;
• beskyttelse af gemte adgangskoder og tokens med Windows-sikkerhed;
• start sammen med Windows;

Sådan fungerer RouterTray:

Appen opretter forbindelse til routeren via lokalnetværket, henter listen over allerede oprettede politikker og anvender den valgte politik på den aktuelle computers netværkskort. RouterTray ændrer ikke indstillingerne for selve politikkerne, er ikke en VPN-klient og dirigerer ikke selv internettrafikken.

Vigtigt:

• kræver en kompatibel Keenetic- eller Netcraze-router med lokal RCI API;
• politikker skal oprettes på forhånd i routerens webgrænseflade;
• godkendelse med token er tilgængelig i firmwareversion 5.2 eller nyere;
• RouterTray er en uafhængig app og er ikke en del af Keenetics eller Netcrazes officielle produkter.

Konfigurer RouterTray én gang, så er den ønskede rute altid lige ved hånden.","Die passende Zugriffsrichtlinie für Ihren Router – mit einem Klick.

RouterTray bringt die auf Ihrem Keenetic- oder Netcraze-Router konfigurierten Zugriffsrichtlinien in den Windows-Infobereich. Wählen Sie für den aktuellen Computer ein beliebiges von Ihnen erstelltes Szenario, zum Beispiel direkten Internetzugang, ein geschäftliches VPN oder ein Familienprofil, ohne sich ständig bei der Weboberfläche des Routers anzumelden.

Klicken Sie neben der Uhr auf das RouterTray-Symbol und wählen Sie die gewünschte Richtlinie. Der Router wendet sie auf den ausgewählten Netzwerkadapter des Computers an. Die aktive Richtlinie ist mit einem Häkchen gekennzeichnet; der Befehl „Standard“ stellt die Standardregeln des Routers wieder her.

Für Zuhause, Büro und andere Netzwerke können Sie separate Profile mit eigener Routeradresse, Anmeldemethode und eigenem Netzwerkadapter erstellen. Verknüpfen Sie ein Profil mit einem Windows-Netzwerk, und RouterTray wählt es beim Verbinden automatisch aus. Sie können die Routeradresse manuell eingeben oder von der App über das Netzwerk-Gateway ermitteln lassen.

Wichtigste Funktionen:

• schnelle Richtlinienauswahl über den Infobereich;
• mehrere Profile für unterschiedliche Router und Netzwerke;
• automatische Profilauswahl anhand des aktuellen Windows-Netzwerks;
• automatische Ermittlung der Routeradresse;
• automatische oder manuelle Auswahl von Ethernet-, WLAN- und anderen Netzwerkadaptern;
• Anmeldung mit Benutzername und Kennwort oder Zugriffstoken;
• Schutz gespeicherter Kennwörter und Tokens durch Windows-Sicherheitsfunktionen;
• Start mit Windows;

So funktioniert RouterTray:

Die App verbindet sich über das lokale Netzwerk mit dem Router, ruft die Liste der bereits erstellten Richtlinien ab und wendet die ausgewählte Richtlinie auf den Netzwerkadapter des aktuellen Computers an. RouterTray ändert die Einstellungen der Richtlinien nicht, ist kein VPN-Client und leitet den Internetverkehr nicht selbst weiter.

Wichtig:

• ein kompatibler Keenetic- oder Netcraze-Router mit lokaler RCI-API ist erforderlich;
• die Richtlinien müssen zuvor in der Weboberfläche des Routers erstellt werden;
• die Token-Authentifizierung ist ab Firmwareversion 5.2 verfügbar;
• RouterTray ist eine unabhängige App und gehört nicht zu den offiziellen Produkten von Keenetic oder Netcraze.

Richten Sie RouterTray einmal ein, und die benötigte Route ist immer griffbereit.","Potrzebna polityka dostępu routera za jednym kliknięciem.

RouterTray przenosi polityki dostępu skonfigurowane na routerze Keenetic lub Netcraze do obszaru powiadomień systemu Windows. Wybierz dla bieżącego komputera dowolny utworzony scenariusz, na przykład bezpośredni dostęp do Internetu, firmowy VPN albo profil rodzinny, bez ciągłego logowania się do interfejsu internetowego routera.

Kliknij ikonę RouterTray obok zegara i wybierz potrzebną politykę. Router zastosuje ją do wybranej karty sieciowej komputera. Aktywna polityka jest oznaczona znacznikiem wyboru, a polecenie „Domyślna” przywraca standardowe reguły routera.

Dla domu, biura i innych sieci możesz utworzyć oddzielne profile z własnym adresem routera, metodą logowania i kartą sieciową. Powiąż profil z siecią Windows, a RouterTray wybierze go automatycznie po nawiązaniu połączenia. Adres routera możesz wpisać ręcznie albo pozwolić aplikacji wykryć go za pośrednictwem bramy sieciowej.

Najważniejsze funkcje:

• szybki wybór polityki z zasobnika systemowego;
• wiele profili dla różnych routerów i sieci;
• automatyczny wybór profilu na podstawie bieżącej sieci Windows;
• automatyczne wykrywanie adresu routera;
• automatyczny lub ręczny wybór kart Ethernet, Wi-Fi i innych kart sieciowych;
• logowanie za pomocą nazwy użytkownika i hasła lub tokenu dostępu;
• ochrona zapisanych haseł i tokenów za pomocą zabezpieczeń systemu Windows;
• uruchamianie wraz z systemem Windows;

Jak działa RouterTray:

Aplikacja łączy się z routerem przez sieć lokalną, pobiera listę wcześniej utworzonych polityk i stosuje wybraną politykę do karty sieciowej bieżącego komputera. RouterTray nie zmienia ustawień samych polityk, nie jest klientem VPN i samodzielnie nie kieruje ruchu internetowego.

Ważne:

• wymagany jest zgodny router Keenetic lub Netcraze z lokalnym interfejsem RCI API;
• polityki należy wcześniej utworzyć w interfejsie internetowym routera;
• uwierzytelnianie tokenem jest dostępne w oprogramowaniu układowym w wersji 5.2 lub nowszej;
• RouterTray jest niezależną aplikacją i nie należy do oficjalnych produktów Keenetic ani Netcraze.

Skonfiguruj RouterTray raz, a potrzebna trasa będzie zawsze pod ręką.","Потрібна політика доступу маршрутизатора в один клік.

RouterTray переносить налаштовані на маршрутизаторі Keenetic або Netcraze політики доступу до області сповіщень Windows. Вибирайте для поточного комп’ютера будь-який створений вами сценарій, наприклад прямий доступ до Інтернету, робочий VPN або сімейний профіль, без постійного входу у вебінтерфейс маршрутизатора.

Натисніть піктограму RouterTray поруч із годинником і виберіть потрібну політику. Маршрутизатор застосує її до вибраного мережевого адаптера комп’ютера. Активну політику позначено прапорцем, а команда «За замовчуванням» повертає стандартні правила маршрутизатора.

Для дому, офісу та інших мереж можна створити окремі профілі з власною адресою маршрутизатора, способом входу й мережевим адаптером. Прив’яжіть профіль до мережі Windows, і RouterTray автоматично вибере його під час підключення. Адресу маршрутизатора можна вказати вручну або дозволити програмі визначити її через мережевий шлюз.

Основні можливості:

• швидкий вибір політики із системного трея;
• кілька профілів для різних маршрутизаторів і мереж;
• автоматичний вибір профілю за поточною мережею Windows;
• автоматичне визначення адреси маршрутизатора;
• автоматичний або ручний вибір Ethernet, Wi-Fi та інших мережевих адаптерів;
• вхід за допомогою імені користувача й пароля або токена доступу;
• захист збережених паролів і токенів засобами Windows;
• запуск разом із Windows;

Як працює RouterTray:

Програма підключається до маршрутизатора через локальну мережу, отримує список уже створених політик і застосовує вибрану політику до мережевого адаптера поточного комп’ютера. RouterTray не змінює налаштувань самих політик, не є VPN-клієнтом і не маршрутизує інтернет-трафік самостійно.

Важливо:

• потрібен сумісний маршрутизатор Keenetic або Netcraze з локальним RCI API;
• політики потрібно заздалегідь створити у вебінтерфейсі маршрутизатора;
• авторизація за токеном доступна у версії прошивки 5.2 або новішій;
• RouterTray є незалежною програмою й не належить до офіційних продуктів Keenetic або Netcraze.

Налаштуйте RouterTray один раз, і потрібний маршрут завжди буде під рукою.","Tarvitsemasi reitittimen käyttöoikeuskäytäntö yhdellä napsautuksella.

RouterTray tuo Keenetic- tai Netcraze-reitittimeen määritetyt käyttöoikeuskäytännöt Windowsin ilmoitusalueelle. Valitse nykyiselle tietokoneelle mikä tahansa luomasi toimintamalli, kuten suora internetyhteys, työ-VPN tai perheprofiili, ilman jatkuvaa kirjautumista reitittimen verkkokäyttöliittymään.

Napsauta kellon vieressä olevaa RouterTray-kuvaketta ja valitse haluamasi käytäntö. Reititin ottaa sen käyttöön tietokoneen valitussa verkkosovittimessa. Aktiivinen käytäntö on merkitty valintamerkillä, ja Oletus-komento palauttaa reitittimen vakiosäännöt.

Voit luoda kotiin, toimistoon ja muihin verkkoihin erilliset profiilit, joilla on oma reitittimen osoite, kirjautumistapa ja verkkosovitin. Yhdistä profiili Windows-verkkoon, niin RouterTray valitsee sen automaattisesti yhteyttä muodostettaessa. Voit syöttää reitittimen osoitteen käsin tai antaa sovelluksen tunnistaa sen verkkoyhdyskäytävän kautta.

Tärkeimmät ominaisuudet:

• käytännön nopea valinta ilmaisinalueelta;
• useita profiileja eri reitittimiä ja verkkoja varten;
• profiilin automaattinen valinta nykyisen Windows-verkon perusteella;
• reitittimen osoitteen automaattinen tunnistus;
• Ethernet-, Wi-Fi- ja muiden verkkosovittimien automaattinen tai manuaalinen valinta;
• kirjautuminen käyttäjänimellä ja salasanalla tai käyttöoikeustunnuksella;
• tallennettujen salasanojen ja tunnusten suojaus Windowsin suojaustoiminnoilla;
• käynnistys Windowsin mukana;

Näin RouterTray toimii:

Sovellus muodostaa yhteyden reitittimeen paikallisverkon kautta, hakee jo luotujen käytäntöjen luettelon ja ottaa valitun käytännön käyttöön nykyisen tietokoneen verkkosovittimessa. RouterTray ei muuta käytäntöjen asetuksia, ei ole VPN-asiakasohjelma eikä reititä internetliikennettä itse.

Tärkeää:

• edellyttää yhteensopivaa Keenetic- tai Netcraze-reititintä, jossa on paikallinen RCI API;
• käytännöt on luotava etukäteen reitittimen verkkokäyttöliittymässä;
• tunnuksella tehtävä todennus on käytettävissä laiteohjelmistoversiossa 5.2 tai uudemmassa;
• RouterTray on itsenäinen sovellus eikä kuulu Keeneticin tai Netcrazen virallisiin tuotteisiin.

Määritä RouterTray kerran, niin tarvitsemasi reitti on aina käden ulottuvilla.","Rätt åtkomstprincip för routern med ett enda klick.

RouterTray flyttar åtkomstprinciperna som har konfigurerats på din Keenetic- eller Netcraze-router till meddelandefältet i Windows. Välj valfritt scenario som du har skapat för den aktuella datorn, till exempel direkt internetåtkomst, ett VPN för arbetet eller en familjeprofil, utan att hela tiden logga in på routerns webbgränssnitt.

Klicka på RouterTray-ikonen bredvid klockan och välj önskad princip. Routern tillämpar den på datorns valda nätverkskort. Den aktiva principen markeras med en bock, medan kommandot Standard återställer routerns standardregler.

För hemmet, kontoret och andra nätverk kan du skapa separata profiler med egen routeradress, inloggningsmetod och nätverkskort. Koppla en profil till ett Windows-nätverk så väljer RouterTray den automatiskt när anslutningen upprättas. Du kan ange routeradressen manuellt eller låta appen identifiera den via nätverksgatewayen.

Viktigaste funktionerna:

• snabbt val av princip från systemfältet;
• flera profiler för olika routrar och nätverk;
• automatiskt profilval utifrån det aktuella Windows-nätverket;
• automatisk identifiering av routeradressen;
• automatiskt eller manuellt val av Ethernet, Wi-Fi och andra nätverkskort;
• inloggning med användarnamn och lösenord eller åtkomsttoken;
• skydd av sparade lösenord och token med Windows säkerhetsfunktioner;
• start tillsammans med Windows;

Så fungerar RouterTray:

Appen ansluter till routern via det lokala nätverket, hämtar listan över redan skapade principer och tillämpar den valda principen på den aktuella datorns nätverkskort. RouterTray ändrar inte principernas inställningar, är inte en VPN-klient och dirigerar inte internettrafik på egen hand.

Viktigt:

• kräver en kompatibel Keenetic- eller Netcraze-router med lokalt RCI API;
• principerna måste skapas i förväg i routerns webbgränssnitt;
• tokenautentisering är tillgänglig i firmwareversion 5.2 eller senare;
• RouterTray är en oberoende app och ingår inte i Keenetics eller Netcrazes officiella produkter.

Konfigurera RouterTray en gång så har du alltid den rutt du behöver nära till hands."
ReleaseNotes,3,Текст,,,,,,,,,,,,,,,
Title,4,Текст,,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray,RouterTray
ShortTitle,5,Текст,,,,,,,,,,,,,,,
SortTitle,6,Текст,,,,,,,,,,,,,,,
VoiceTitle,7,Текст,,,,,,,,,,,,,,,
ShortDescription,8,Текст,,Switch Keenetic and Netcraze access policies from the Windows system tray.,Cambia las políticas de acceso de Keenetic y Netcraze desde la bandeja del sistema de Windows.,Cambia i criteri di accesso Keenetic e Netcraze dall’area di notifica di Windows.,Alterne as políticas de acesso Keenetic e Netcraze na área de notificação do Windows.,Переключайте политики доступа Keenetic и Netcraze из системного трея Windows.,Keenetic ve Netcraze erişim politikalarını Windows sistem tepsisinden değiştirin.,Changez les politiques d’accès Keenetic et Netcraze depuis la zone de notification Windows.,Switch Keenetic and Netcraze access policies from the Windows system tray.,Skift Keenetic- og Netcraze-adgangspolitikker fra systembakken i Windows.,Wechseln Sie Keenetic- und Netcraze-Zugriffsrichtlinien über den Windows-Infobereich.,Przełączaj polityki dostępu Keenetic i Netcraze z zasobnika systemowego Windows.,Перемикайте політики доступу Keenetic і Netcraze із системного трея Windows.,Vaihda Keenetic- ja Netcraze-käyttöoikeuskäytäntöjä Windowsin ilmaisinalueelta.,Byt åtkomstprinciper för Keenetic och Netcraze från systemfältet i Windows.
DevStudio,9,Текст,,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis,Sevostianov Denis
CopyrightTrademarkInformation,12,Текст,,,,,,,,,,,,,,,
AdditionalLicenseTerms,13,Текст,,,,,,,,,,,,,,,
